id,youtube_url,video_title,channel,thumbnail_url,confidence
st_04179,https://www.youtube.com/watch?v=0rb1uaUtLFk,[#눈물의여왕] 온 우주가 도와주는 백홍 커플 프러포즈 타이밍..?💖 김지원이 전체 대관한 아쿠아리움에서 청혼하는 김수현ㅋㅋ | #백홍달콩,tvN DRAMA,https://i.ytimg.com/vi/0rb1uaUtLFk/hqdefault.jpg,high
st_04186,https://www.youtube.com/watch?v=oY7WJjOEL1w,"[에필로그] 어린 김수현, 과거 김지원에게 먼저 손 내밀어 준 인연 #눈물의여왕 EP.4 | tvN 240317 방송",tvN DRAMA,https://i.ytimg.com/vi/oY7WJjOEL1w/hqdefault.jpg,high
st_04187,https://www.youtube.com/watch?v=rWqHOkwK50c,[#눈물의여왕] 영숙아!!!!!!!! 김수현이 폭풍 성량으로 애타게 찾는 영숙이의 정체 ㅋㅋㅋ 김지원 말이라면 철석같이 다 믿는 아내바보 김수현💗 | #티전드,tvN D ENT,https://i.ytimg.com/vi/rWqHOkwK50c/hqdefault.jpg,high
st_04188,https://www.youtube.com/watch?v=TMFoLLKEBLs,"※시한부 통보※ 김지원, 단기 기억상실증에 치료 불가 희귀병 판정...! #눈물의여왕 EP.2 | tvN 240310 방송",tvN DRAMA,https://i.ytimg.com/vi/TMFoLLKEBLs/hqdefault.jpg,high
st_04189,https://www.youtube.com/watch?v=cHrDo2N8r1E,"김지원, 원인불명의 사고로 잃은 오빠에 대한 미안함과 죄책감 #눈물의여왕 EP.6 | tvN 240324 방송",tvN DRAMA,https://i.ytimg.com/vi/cHrDo2N8r1E/hqdefault.jpg,high
st_04191,https://www.youtube.com/watch?v=rT-AxOPNojk,"[기적엔딩] 백현우X홍해인, 당신과 함께 한 시간이 내 인생의 기적이었습니다 #눈물의여왕 EP.16 | tvN 240428 방송",tvN DRAMA,https://i.ytimg.com/vi/rT-AxOPNojk/hqdefault.jpg,mid
st_04194,https://www.youtube.com/watch?v=fbzICYnq--0,"백현우, 홍해인 옆자리 노리는 윤은성 향한 경고! (ft. 주먹 싸움🔥) #눈물의여왕 EP.11 | tvN 240413 방송",tvN DRAMA,https://i.ytimg.com/vi/fbzICYnq--0/hqdefault.jpg,mid
st_04195,https://www.youtube.com/watch?v=qyApy9Z1tI4,"※이혼 취소 프러포즈※ 백현우, 고백 맛집에서 홍해인에게 건넨 반지! #눈물의여왕 EP.12 | tvN 240414 방송",tvN DRAMA,https://i.ytimg.com/vi/qyApy9Z1tI4/hqdefault.jpg,high
st_04198,https://www.youtube.com/watch?v=1jsWWjA3fMc,[에필로그] 김수현x김지원 결혼식 비디오에 담긴 서로를 향한 진심! #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/1jsWWjA3fMc/hqdefault.jpg,mid
st_04200,https://www.youtube.com/watch?v=dCpxbo3I__k,(과거 회상) 헬기 타고 강림한 여신 클라쓰! 김수현x김지원의 애틋 러브스토리♡ #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/dCpxbo3I__k/hqdefault.jpg,high
st_04201,https://www.youtube.com/watch?v=dCpxbo3I__k,(과거 회상) 헬기 타고 강림한 여신 클라쓰! 김수현x김지원의 애틋 러브스토리♡ #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/dCpxbo3I__k/hqdefault.jpg,high
st_04202,https://www.youtube.com/watch?v=dCpxbo3I__k,(과거 회상) 헬기 타고 강림한 여신 클라쓰! 김수현x김지원의 애틋 러브스토리♡ #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/dCpxbo3I__k/hqdefault.jpg,high
st_04203,https://www.youtube.com/watch?v=dCpxbo3I__k,(과거 회상) 헬기 타고 강림한 여신 클라쓰! 김수현x김지원의 애틋 러브스토리♡ #눈물의여왕 EP.1 | tvN 240309 방송,tvN DRAMA,https://i.ytimg.com/vi/dCpxbo3I__k/hqdefault.jpg,high
