title_key,title_표기,category,수집_글수,전체_성지수,언급된_성지수,필터통과_성지수,대표성지_TOP5
맨끝줄소년,맨 끝줄 소년 / 맨끝줄소년,drama,46,34,18,14,한미서점(10) / 계명대학교 성서캠퍼스(8) / 템스커피(6) / 앤드테라스 파주점(5) / 계명대학교 대명캠퍼스(4)
내남편과결혼해줘,내 남편과 결혼해줘 / 내남편과결혼해줘,drama,45,120,31,14,지혜의숲(4) / 옥천횟집(4) / 법기수원지(4) / IFC서울(4) / 청평호(4)
마더,마더,drama,45,10,8,3,오정동 선교사촌(한남대학교 선교사촌)(5) / 삼척항(2) / 불은초등학교(1) / 국립산림과학원(1) / 롯데콘서트홀(1)
밀정,밀정,movie,45,2,1,2,합천영상테마파크(18) / 문경새재오픈세트장(0)
반짝이는워터멜론,반짝이는 워터멜론 / 반짝이는워터멜론,drama,45,89,45,15,전북대학교(8) / 제민천(7) / 이월드(7) / 신선대(6) / 배재고등학교(6)
설국열차,설국열차,movie,45,2,1,0,바란도프 스튜디오(2) / 힌터툭스 빙하(0)
인천상륙작전,인천상륙작전,movie,45,6,1,3,합천영상테마파크(3) / 계명대학교 성서캠퍼스(0) / 광천토굴새우젓시장(0) / 마시안해변(0) / 삽교호함상공원(0)
멋진신세계,멋진 신세계 / 멋진신세계,drama,44,118,67,14,경복궁(10) / 청계천(8) / 창덕궁(8) / 전주향교(7) / 이노88타워(7)
사내맞선,사내맞선,drama,44,38,9,6,자유공원(6) / 카페 산들언덕(3) / 연남장(3) / 캐틀앤비(3) / 스카이베이호텔 경포(2)
신입사원강회장,신입사원 강회장 / 신입사원강회장,drama,44,49,40,15,브레스커피웍스(19) / 인제스피디움(10) / 롯데인재개발원 오산캠퍼스(8) / 긴자 송도유원지점(6) / 조선팰리스 서울 강남(6)
지금우리학교는,지금 우리 학교는 / 지금우리학교는,drama,44,9,2,3,성희여자고등학교(17) / 목척교(3) / 김밥천국(0) / 마라탕(0) / 성일아파트301동(0)
키스는괜히해서,키스는 괜히 해서! / 키스는괜히해서,drama,44,87,31,15,비밀의숲(11) / 자유공원(9) / 인터불고엑스코 그랑파티오(7) / 성산일출봉(6) / 노량진역(6)
슬기로운감빵생활,슬기로운감빵생활,drama,43,15,2,3,익산교도소세트장(12) / 빠삐용Zip(옛 장흥교도소)(7) / 개화동집(0) / 고척스카이돔(0) / 대우트럼프월드II(0)
약한영웅2,약한영웅2,drama,43,40,28,13,대전대신고등학교(8) / 로얄볼링장(6) / 서울역사박물관(6) / 멕시칸치킨 효창중앙점(5) / 한남대학교(5)
