id,title,place_name,tier,유효언급_글수,저자수,popularity_score,근거_URL_상위3
st_20097,달의연인-보보경심 려,밀양 위양지(위양못),A,2,2,22.2,http://blog.naver.com/easy_month/223219822272 | https://blog.naver.com/jjung0217_/224294230106
st_04939,당신이잠든사이에,자도르 본점,A,2,2,100.0,
st_05099,더글로리,청라호수공원(청라원),S,8,8,100.0,https://blog.naver.com/hyjueng/223043740851 | https://blog.naver.com/wwlswwlsl/223079881486 | https://blog.naver.com/charmingcandy/223185567618
st_05165,더글로리,용화사,S,7,7,87.5,https://blog.naver.com/hjsong0513/223993641764 | https://blog.naver.com/wwwbaby/223942873097 | https://blog.naver.com/krcpolicy/223802313117
st_05095,더글로리,멍때림,S,6,6,75.0,https://blog.naver.com/qqall/222978033655 | https://blog.naver.com/ska614/223050671289 | https://blog.naver.com/thfud1356/223109661811
st_05162,더글로리,청주중앙공원,S,5,5,62.5,https://blog.naver.com/krcpolicy/223802313117 | https://blog.naver.com/wootopia7/223258598482 | https://blog.naver.com/realjaekyo/223055155527
st_05171,더글로리,세종호수공원,S,3,3,37.5,https://blog.naver.com/sweet7375/223122548933 | https://blog.naver.com/victory0133/224299302956 | https://blog.naver.com/ksdbs77/223896473863
st_05151,더글로리,에덴파라다이스호텔,A,2,2,25.0,https://blog.naver.com/lhh6106/224322288663 | https://blog.naver.com/redmee2/223019715760
st_20411,더킹,아홉산숲,S,18,17,100.0,https://blog.naver.com/mjudy123/222577741204 | https://blog.naver.com/answn523/222229260290 | https://blog.naver.com/mjymodel/222714659616
st_20412,더킹,동백섬,A,5,3,27.8,https://blog.naver.com/tcacyc/221953270471 | https://blog.naver.com/tripinkorea/221981290075 | http://blog.naver.com/filmobusan/221919684394
st_20414,더킹,벡스코,A,3,2,16.7,https://blog.naver.com/tripinkorea/221981290075 | http://blog.naver.com/filmobusan/221919684394 | https://blog.naver.com/filmobusan/221919684394
st_20416,더킹,다대포해수욕장,A,2,2,11.1,https://blog.naver.com/tripinkorea/221981290075 | https://blog.naver.com/filmobusan/221999523616
st_20422,도깨비,주문진방파제,S,6,7,100.0,https://blog.naver.com/dutlsgofk7/222041610205 | https://blog.naver.com/richplacefestival/224338506054 | https://blog.naver.com/ohtheli/224338605849
st_20423,도깨비,경포대,A,2,3,33.3,https://blog.naver.com/dsartclub/222969871584 | https://blog.naver.com/nklee-/223440787370 | https://blog.naver.com/sinyu065/223587401039
st_20434,도깨비,강릉중앙시장,A,2,2,33.3,https://blog.naver.com/skytolan/221333143538 | https://blog.naver.com/eao0926/224340460130
st_05241,도깨비,운현궁양관,A,2,2,33.3,https://blog.naver.com/ktalpha_official/220919028843 | https://blog.naver.com/hk_diamond/220925551226
mv_1428_01,도둑들,부산데파트,B,1,1,100.0,https://blog.naver.com/busanpen/220492338983
