place_name,place_address,naver_url,naver_lat,naver_lng,verdict
소피텔 앰배서더 서울 레지던스,서울 송파구 잠실로 209,https://map.naver.com/p/entry/place/1374313303,37.513717,127.1064138,adopt
SBS 일산제작센터,경기 고양시 일산서구 일현로 111,https://map.naver.com/p/entry/place/19057319,37.6968552,126.7656989,adopt
킨텍스원시티,경기 고양시 일산동구 월드고양로 21,https://map.naver.com/p/entry/place/1749920499,37.6612867,126.7485385,adopt
자작도해수욕장,강원 고성군 죽왕면 문암진리,https://map.naver.com/p/entry/place/1238940361,38.3094558,128.5417938,adopt
수변공원,경기 고양시 일산동구 연리지로 17-2,https://map.naver.com/p/entry/place/1173871248,37.6595344,126.7545597,adopt
벚꽃마을,경기 부천시 원미구 상이로 46,https://map.naver.com/p/entry/place/32421675,37.4927525,126.7448956,adopt
계명대학교 성서캠퍼스,대구 달서구 달구벌대로 1095,https://map.naver.com/p/entry/place/12174294,35.8567399,128.489875,adopt
여의도한강공원,서울 영등포구 한강남자전거길 1451,https://map.naver.com/p/entry/place/13416869,37.5263232,126.9348268,adopt
대림동 우리시장,서울 영등포구 도림로64길 16-1,https://map.naver.com/p/entry/place/21856772,37.4969942,126.9047967,adopt
용산아이파크몰 달주차장,서울 용산구 한강대로23길 55,https://map.naver.com/p/entry/place/35940224,37.5297718,126.9647414,adopt
남산타워,서울 용산구 용산동2가 산 1-3,https://map.naver.com/p/entry/place/1066834125,37.5510548,126.9878822,adopt
창덕궁,서울 종로구 율곡로 99,https://map.naver.com/p/entry/place/12261493,37.5826041,126.9919376,adopt
그랜드 워커힐 서울 더파빌리온,서울 광진구 워커힐로 177,https://map.naver.com/p/entry/place/37093032,37.555169,127.1107738,adopt
파라다이스시티 아트파라디소,인천 영종구 영종해안남로321번길 186,https://map.naver.com/p/entry/place/1340510096,37.4370084,126.4578186,adopt
MBC문화동산,경기 양주시 만송로 394-104,https://map.naver.com/p/entry/place/12443516,37.7915758,127.1021749,adopt
가평대교,경기 가평군 설악면 사룡리 산 140,https://map.naver.com/p/entry/place/1940812920,37.7051883,127.4957824,adopt
산굼부리 주차장,제주 제주시 조천읍 비자림로 768,https://map.naver.com/p/entry/place/17036891,33.4350762,126.6894249,adopt
호남식당,서울 동대문구 경동시장로8길 32,https://map.naver.com/p/entry/place/2054994138,37.5805817,127.0423368,adopt
인천서구견인보관소,인천 서해구 경명대로 265,https://map.naver.com/p/entry/place/38495383,37.5579233,126.638834,adopt
삼송마을LH16단지아파트,경기 고양시 덕양구 세솔로 149,https://map.naver.com/p/entry/place/31690161,37.6528445,126.8832253,adopt
