id,place_name,kakao_place_id,kakao_url,kakao_lat,kakao_lng,match_confidence,matched_name,matched_address
st_20670,국립경국대학교 안동캠퍼스,1223179296,http://place.map.kakao.com/1223179296,36.542680153,128.7967481633,mid,국립경국대학교 안동캠퍼스,경북 안동시 경동로 1375
st_20671,홍대 와우산로27길,,,,,failed,,
st_20672,여수서시장,,,,,low,,
st_20673,홀통해수욕장,8176367,http://place.map.kakao.com/8176367,35.0618781054,126.336882937,high,홀통해수욕장,전남광주통합특별시 무안군 현경면 오류리 2-1
st_20674,미미옥 신용산점,256180379,http://place.map.kakao.com/256180379,37.5262843768,126.9629524215,mid,미미옥 신용산점,서울 용산구 한강대로15길 27
st_20675,미메시스 아트 뮤지엄,13272490,http://place.map.kakao.com/13272490,37.716792732,126.6889188346,mid,미메시스 아트 뮤지엄,경기 파주시 문발로 253
st_20676,대신고 앞 철길 횡단 육교,,,,,failed,,
st_20677,강동경희대병원,1401782789,http://place.map.kakao.com/1401782789,37.5533227967,127.157849668,high,강동경희대병원 호흡기내과,서울 강동구 동남로 892
st_20678,지산빌딩,,,,,failed,,
st_20679,우송정보대학 동캠퍼스,26499057,http://place.map.kakao.com/26499057,36.3344770729,127.4527760423,high,우송정보대학 동캠퍼스,대전 동구 백룡로 59
st_20680,홍대축제거리,1634364045,http://place.map.kakao.com/1634364045,37.5512343122,126.9213489496,high,홍대축제거리,서울 마포구 서교동 365-28
st_20681,인천국제공항 제1교통센터,17561686,http://place.map.kakao.com/17561686,37.4477420081,126.4523739227,high,인천국제공항 제1교통센터,인천 영종구 공항로 271
st_20682,농구장(도봉동),1181006723,http://place.map.kakao.com/1181006723,37.6912149619,127.0494334048,high,농구장,서울 도봉구 도봉동 2-6
st_20683,쓰리팝 PC방 대방점,30067041,http://place.map.kakao.com/30067041,37.5121166001,126.9317314687,mid,쓰리팝(대방점),서울 동작구 등용로 123
st_20684,CU 공군호텔점,630679080,http://place.map.kakao.com/630679080,37.5108885239,126.9229318076,mid,CU 영등포공군호텔점,서울 영등포구 영등포로86길 23
st_20685,한온시스템 생활관(구 한라공조 생활관),8148994,http://place.map.kakao.com/8148994,36.4447479886,127.4094498425,mid,한온시스템 생활관,대전 대덕구 대덕대로1448번길 70
st_20686,종로 윤보선길,,,,,low,,
st_20687,63빌딩,26406915,http://place.map.kakao.com/26406915,37.5198148916,126.9402615844,high,63빌딩,서울 영등포구 63로 50
st_20688,책마을 경기광주점,21133801,http://place.map.kakao.com/21133801,37.4123231065,127.2545069848,mid,책마을 광주점,경기 광주시 중앙로145번길 25
st_20689,종로 일대,,,,,failed,,
st_20690,루하스사우나,27387876,http://place.map.kakao.com/27387876,37.6341735166,126.9176985625,mid,루하스사우나,서울 은평구 통일로 1030
st_20691,서울역 11번 출구 버스정류장,,,,,failed,,
st_20692,지후아타네호,18533456,http://place.map.kakao.com/18533456,37.390146501,127.0932123034,mid,지후아타네호,경기 성남시 분당구 판교공원로1길 49
st_20693,대왕판교로644번길,,,,,failed,,
st_20694,서울여자대학교 50주년기념관,20348051,http://place.map.kakao.com/20348051,37.6263215436,127.0930533125,mid,서울여자대학교 50주년기념관,서울 노원구 화랑로 621
st_20695,삼거마을삼성래미안1차아파트,7920002,http://place.map.kakao.com/7920002,37.2991301671,127.1116467492,mid,삼거마을삼성래미안1차아파트,경기 용인시 기흥구 용구대로2394번길 27
st_20696,낙원상가 앞,,,,,failed,,
st_20697,삼일대로30길,,,,,low,,
st_20698,세종대로,26523146,http://place.map.kakao.com/26523146,37.5661625938,126.9771674005,mid,세종대로,서울 중구 정동 5-8
st_20699,명륜진사갈비 포천시청점,1004336360,http://place.map.kakao.com/1004336360,37.9052905307,127.207660786,high,명륜진사갈비 포천시청점,경기 포천시 신북면 왕방로 324
st_20700,오동근린공원 등산로,,,,,failed,,
st_20701,월곡산 애기릉터공원,,,,,failed,,
st_20702,인천국제공항 제1교통센터,17561686,http://place.map.kakao.com/17561686,37.4477420081,126.4523739227,mid,인천국제공항 제1교통센터,인천 영종구 공항로 271
st_20703,월드컵대교,1113513163,http://place.map.kakao.com/1113513163,37.5567091982,126.8855141829,high,월드컵대교,서울 마포구 상암동 1541
st_20704,계동길 카페 탐탐 앞,,,,,failed,,
st_20705,포비 합정점 앞,,,,,failed,,
st_20706,한강시민공원 원효대교 남단,,,,,failed,,
st_20707,와룡공원길 조망지점,,,,,failed,,
st_20708,청운공원 다목적운동장,25019237,http://place.map.kakao.com/25019237,37.5885802172,126.9658970803,high,청운공원 다목적운동장,서울 종로구 청운동 7-6
st_20709,윤동주문학관 앞,,,,,failed,,
st_20710,안산올림픽기념관,8001559,http://place.map.kakao.com/8001559,37.3261707784,126.8273317109,mid,안산올림픽기념관,경기 안산시 단원구 적금로 202
st_20711,오송호수공원 파크골프장 앞,,,,,failed,,
st_20712,송도IBS타워,14918475,http://place.map.kakao.com/14918475,37.3980213428,126.6339382595,mid,송도IBS타워,인천 연수구 센트럴로 263
st_20713,윤보선길,,,,,low,,
st_20714,남산공원 전망대(팔각광장),,,,,failed,,
st_20715,남산서울타워,1717794753,http://place.map.kakao.com/1717794753,37.55112113,126.9878685172,mid,돈룩업 남산서울타워점,서울 용산구 남산공원길 105
st_20716,오렌지플래닛,180325615,http://place.map.kakao.com/180325615,37.5020753178,127.039772458,high,오렌지플래닛,서울 강남구 테헤란로 217
st_20717,서울법원종합청사,10498918,http://place.map.kakao.com/10498918,37.4982792628,127.0109196833,high,서울법원 종합청사별관,서울 서초구 서초중앙로 157
st_20718,콘래드 서울 아트리오,27543646,http://place.map.kakao.com/27543646,37.5254565911,126.9267835391,high,콘래드서울 아트리오,서울 영등포구 국제금융로 10
st_20719,독투독(우쭈쭈케어센터 합정점),,,,,failed,,
st_20720,달빛애견글램핑,1252315189,http://place.map.kakao.com/1252315189,37.9650223409,127.337656224,mid,달빛글램핑,경기 포천시 일동면 사기막길 67-6
st_20721,아나키아,1855877702,http://place.map.kakao.com/1855877702,37.7285158454,127.1137197878,high,아나키아,경기 의정부시 잔돌길 22
st_20722,위드포레타운하우스,,,,,failed,,
