place_name,place_address,photo_url,status
해변슈퍼,강원 고성군 죽왕면 심층수길 40-3,,no_photo
동부로73번길,대전 동구 동부로73번길 108,,no_photo
실비식당,충남 천안시 서북구 쌍용14길 53,,no_photo
위드뷰티살롱,서울 강남구 도산대로70길 16,,no_photo
춘지본가,서울 마포구 와우산로25길 28,,no_photo
효성빌라,서울 종로구 자하문로35길 22,,no_photo
지리산흑돼지,서울 중구 명동10길 19-27,,no_photo
작은마을,서울 성북구 정릉로6길 35,,no_photo
솔티핫티,서울 용산구 이태원로55길 45,,no_photo
남양주종합촬영소,경기 남양주시 조안면 북한강로855번길 138,,no_photo
사이버고시원,인천 미추홀구 석정로150번길 43,,no_photo
민지미용실,서울 노원구 한글비석로36길 86,,no_photo
기업은행ATM,서울 도봉구 마들로 727-1,,no_photo
도봉중앙교회,서울 도봉구 우이천로48길 9,,no_photo
여의상류IC,서울 영등포구 여의도동 70,,no_photo
신도림로11다길,서울 구로구 신도림동 291-176,,no_photo
경일워터젯,서울 구로구 구로중앙로42길 60,,no_photo
보성금형사,서울 구로구 신도림로5길 51,,no_photo
월드컵북로60길,서울 마포구 월드컵북로58길 15,,no_photo
성암로,서울 마포구 상암동 1695-1,,no_photo
연세안경앞,서울 마포구 신촌로16길 4,,no_photo
종로슈퍼,서울 종로구 돈화문로10길 14,,no_photo
여의도순복음분당교회,경기 성남시 분당구 불정로 64,,no_photo
마곡중앙6로,서울 강서구 강서로 391,,no_photo
마곡동로,서울 강서구 공항대로 236,,no_photo
연희로11가길,서울 서대문구 연희로11가길 35,,no_photo
지오베르크,서울 용산구 백범로 346,,no_photo
백범로90다길,서울 용산구 문배동 31-2,,no_photo
서소문로11길,서울 중구 정동 34-29,,no_photo
서애로,서울 중구 필동3가 29-6,,no_photo
필동로,서울 중구 필동로 25,,no_photo
세종대로23길,서울 종로구 세종로 81-13,,no_photo
CU 일산대화공원점,경기 고양시 일산서구 강성로214번길 7-15,,no_photo
고봉로,경기 고양시 일산동구 고봉로 26-14,,no_photo
톤앤무드스튜디오 파주점,경기 파주시 장터고개길 87,,no_photo
한림고등학교,제주 제주시 한림읍 월계로 74,,no_photo
신한당약국,제주 제주시 조천읍 신북로 530,,no_photo
일주동로,제주 제주시 구좌읍 일주동로 3121,,no_photo
