id,place_name,search_key,naver_url,naver_lat,naver_lng,confidence,matched_name
st_10371,계원리 등대,계원리 등대,https://map.naver.com/p/entry/place/37784102,35.8706682,129.5341189,coord,양포등대
st_10447,상암DMC홍보관.YTN,상암DMC홍보관.YTN,,,,failed,
st_10453,봄봄,봄봄 한식뷔페 성수점,,,,failed,
st_10454,쉐프조,쉐프조 문래본점,https://map.naver.com/p/entry/place/32873364,37.5192764,126.8927188,coord,쉐프조 문래본점
st_10455,대우트럼프월드II,대우트럼프월드 2차,https://map.naver.com/p/entry/place/19001110,37.5175453,126.9273174,coord,대우트럼프월드2차아파트
st_10460,수노래방,수노래연습장 홍대 럭셔리점,,,,failed,
st_10465,미증유옆,미증유,https://map.naver.com/p/entry/place/1117011869,37.5781938,126.8962757,coord,미증유
st_10466,서브웨이,써브웨이 홍익대점,,,,failed,
st_10478,남산육교,남산육교,https://map.naver.com/p/entry/place/18690016,37.5574809,126.9763954,mid,남산육교
st_10836,더세인트41,THESAINT41,,,,failed,
st_10839,세종대로,세종대로,,,,failed,
st_10841,청계천로,청계천로,,,,failed,
st_10847,강남대로,강남대로,,,,failed,
st_10857,리븐델하우스,리븐델,,,,failed,
st_10866,경기동로186번길,경기동로186번길,,,,failed,
st_10868,스포츠타운길,스포츠타운길,https://map.naver.com/p/entry/place/15636647,37.852075,127.6897438,mid,스포츠타운길
st_10876,황등석산,(주)황등석산,,,,failed,
st_11216,마곡중앙14로,마곡중앙14로,https://map.naver.com/p/entry/place/35792919,37.5699327,126.8299846,mid,마곡중앙14로
st_11219,LG사이언스파크 정류장(16108),LG사이언스파크,https://map.naver.com/p/entry/place/1907138406,37.5631715,126.8317624,coord,LG사이언스파크E2동
st_11222,증산로13가길(1),1,,,,failed,
st_11224,증산로13가길(3),3,,,,failed,
st_11227,희우정로,희우정로,https://map.naver.com/p/entry/place/18794181,37.5543549,126.9015352,mid,희우정로
st_11228,광신빌딩,광신빌딩,,,,failed,
st_11229,서강로,서강로,https://map.naver.com/p/entry/place/19585694,37.5488141,126.9318343,mid,서강로
st_11230,경의선숲길,경의선숲길공원,,,,failed,
st_11235,영등포역 육교,영등포,,,,failed,
st_11236,경인로94길,경인로94길,https://map.naver.com/p/entry/place/19005780,37.5143219,126.9028731,mid,경인로94길
st_11243,매봉18길,매봉18길,https://map.naver.com/p/entry/place/36995944,37.555385,127.0172818,mid,매봉18길
st_11250,압구정로,압구정로,https://map.naver.com/p/entry/place/20618842,37.5281869,127.030376,mid,압구정로
st_11251,도산대로,도산대로,https://map.naver.com/p/entry/place/19585732,37.522137,127.0357568,mid,도산대로
st_11252,인천공항,인천국제공항,,,,failed,
st_11253,영종순환로,영종순환로,,,,failed,
st_11255,차이나타운로,차이나타운로,https://map.naver.com/p/entry/place/19623824,37.474707,126.618134,coord,차이나타운로
st_11256,제물량로,제물량로,,,,failed,
st_11262,도담터스튜디오,(주) 도담터,,,,failed,
st_17579,도담터스튜디오,(주) 도담터,,,,failed,
st_17867,도담터스튜디오,(주) 도담터,,,,failed,
st_11265,월드고양로,월드고양로,https://map.naver.com/p/entry/place/34146923,37.6609373,126.748595,mid,월드고양로
st_11481,인시즌,인시즌,,,,failed,
st_11484,그대와인,그대와인,,,,failed,
st_11492,데이즈쇼룸,데이즈데이즈,https://map.naver.com/p/entry/place/1595708983,37.5359144,127.0006964,coord,데이즈데이즈
st_11494,이태원국민은행,KB국민은행 이태원지점,https://map.naver.com/p/entry/place/11719737,37.5343785,126.9947205,coord,KB국민은행 이태원
st_11496,한담곱창,한담 곱창,https://map.naver.com/p/entry/place/1120176559,37.5306171,126.9670219,coord,한담곱창 용산본점
st_11498,빈티지샵,우니쿠,,,,failed,
st_11500,우리동네키움센터,우리동네키움센터,,,,failed,
st_11501,미미옥,미미옥 신용산점,https://map.naver.com/p/entry/place/1565282758,37.5262851,126.9630047,coord,미미옥 신용산점
st_11503,어항로,어항로,,,,failed,
