title,category,matched_title,year,director,poster_url,status
킬러들의쇼핑몰,drama,킬러들의 쇼핑몰,2024,이언희;Lee Kwon,https://image.tmdb.org/t/p/w500/gfw41bHY2boxVse5l8M6m0sft5n.jpg,ok
킹더랜드,drama,킹더랜드,2023,임현욱,https://image.tmdb.org/t/p/w500/7LiOlsfy8rlD9BojJ8qSYqFh4e4.jpg,ok
태양의후예,drama,Descendants of the Sun (The Philippine Adaptation),2020,Dominic Zapata,https://image.tmdb.org/t/p/w500/klUvf2qjRLOxJHW1r35qRvkBGu5.jpg,ok
태풍상사,drama,태풍상사,2025,Lee Na-jeong,https://image.tmdb.org/t/p/w500/k60BloWxlWTpVumWR4cioC8OLi1.jpg,ok
트웰브,drama,트웰브,2025,강대규,https://image.tmdb.org/t/p/w500/1e9Yv0ljhXAjP65V1QtAqXuKns7.jpg,ok
판사이한영,drama,판사 이한영,2026,Lee Jae-jin,https://image.tmdb.org/t/p/w500/AnfCTqCrcrKqRO1HNJEFpt6oiIx.jpg,ok
폭군의셰프,drama,폭군의 셰프,2025,장태유,https://image.tmdb.org/t/p/w500/kqFofZ0hOQ7Y3VUQQ59lpHaCJpM.jpg,ok
폭싹 속았수다,drama,폭싹 속았수다,2025,김원석,https://image.tmdb.org/t/p/w500/koMkV9qm0PEZHDmX5dRpBpMH1FY.jpg,ok
피노키오,drama,피노키오,2014,Jo Soo-won,https://image.tmdb.org/t/p/w500/qqB4ftImSYUVAhreLeO8TY0FkDX.jpg,ok
호텔델루나,drama,호텔 델루나,2019,오충환,https://image.tmdb.org/t/p/w500/uuQvLgr3xWuW5bb4LeR1jwa0G82.jpg,ok
힐러,drama,힐러,2014,Kim Jin-woo;Lee Jung-sub,https://image.tmdb.org/t/p/w500/a24Tm3vJoWb3X3DSdTSwIp6xx8w.jpg,ok
힘쎈여자도봉순,drama,힘쎈여자 도봉순,2017,이형민,https://image.tmdb.org/t/p/w500/zUeMFnFJKPqe8lNdUYl7oxrwSZ3.jpg,ok
D.P.,drama,D.P.,2021,한준희,https://image.tmdb.org/t/p/w500/ufovksqVTNogMdU5LlCVbJSiMVa.jpg,ok
갯마을 차차차,drama,갯마을 차차차,2021,유제원,https://image.tmdb.org/t/p/w500/ub2ZaobABSYtkWKaEycWmMjkorP.jpg,ok
달의연인-보보경심 려,drama,달의 연인 - 보보경심 려,2016,김규태,https://image.tmdb.org/t/p/w500/7Ji4MvbqOnAnwGJV5Z953AkuE0X.jpg,ok
라켓소년단,drama,라켓소년단,2021,Jo Young-kwang,https://image.tmdb.org/t/p/w500/2WHTFmDXsBvjTHdzDhvKwKTekCc.jpg,ok
마더,drama,시크릿 마더,2018,Park Yong-soon,https://image.tmdb.org/t/p/w500/5caTLCIsHORBhhLCMQhg5q5p4uO.jpg,ok
마우스,drama,마우스,2021,Choi Joon-bae;강철우,https://image.tmdb.org/t/p/w500/lrWHBK1h4rrEnx5Ml8iDR1SwNux.jpg,ok
마이네임,drama,마이 네임 이즈 얼,2005,"Eyal Gordin;Marc Buckland;Chris Koch;Michael Fresco;Ken Whittingham;Greg Garcia;Victor Nelli, Jr.;밀리센트 쉘튼;크레이그 지스크;John Putch;Jason Ensler;Lev L. Spiro;Gail Mancuso;Tamra Davis",https://image.tmdb.org/t/p/w500/57shLTTkHvhLUhyP1t0lNZPoAxD.jpg,ok
미스터 션샤인,drama,미스터 션샤인,2018,이응복,https://image.tmdb.org/t/p/w500/uSavP0BSfnyUaJe62f0ZTXIHLs8.jpg,ok
빈센조,drama,빈센조,2021,김희원;Ham Seung-hoon,https://image.tmdb.org/t/p/w500/mWYW3xNeV2IM06aUl2xMUdLicpa.jpg,ok
슈룹,drama,슈룹,2022,Kim Hyung-sik,https://image.tmdb.org/t/p/w500/tYZ4XCZa8YBG6MADepLQNk45H7z.jpg,ok
악의꽃,drama,Flower of Evil,2022,Darnel Joy Villaflor;Richard Arellano,https://image.tmdb.org/t/p/w500/q2ZKB2cbhJoaFTd6cRkU7KIJBC3.jpg,ok
지옥,drama,지옥,2021,연상호,https://image.tmdb.org/t/p/w500/sgTu75c5PJsRHDMSna0ha8bhYWn.jpg,ok
철인왕후,drama,철인왕후,2020,윤성식,https://image.tmdb.org/t/p/w500/nzMUCTgifscseMV62JjZE3ilOSx.jpg,ok
킹덤,drama,킹덤,2019,김성훈;Park In-je,https://image.tmdb.org/t/p/w500/zXfQcdTx0jxbH5Atpwjvb5z5VjE.jpg,ok
