geonameid,official_rr,hangul,feature_class,feature_code,latitude,longitude,variant,variant_type,is_historic,same_name_diff_spelling
1832379,Yongkkot,용꽃,P,PPL,36.16242,127.06779,Yongkkoch’,MR,,
1832381,Yongju,용주,P,PPL,34.71636,127.63033,Yongju-ri,other_variant,,
1832382,Yeongjung-myeon,Yŏngjung-myŏn / 영중면,A,ADM3,38.0018,127.24864,Eichū-men,other_variant,,
1832384,Yeongju,영주 / 영주시,P,PPL,36.82167,128.63083,Eisen,other_variant,,
1832384,Yeongju,영주 / 영주시,P,PPL,36.82167,128.63083,Eishū,other_variant,,
1832384,Yeongju,영주 / 영주시,P,PPL,36.82167,128.63083,Yŏngju,MR,,
1832385,Yongju,용주,P,PPL,35.29257,126.97999,Yongju-ri,other_variant,,
1832386,Yongjŏl-li,Yongjŏl-li / 용전리,L,LCTY,34.88062,127.14259,Yongjŏn-ni,MR,,
1832388,Yongjŏl-li,Yongjŏl-li / 용전리,L,LCTY,34.78574,127.24096,Yongjŏn-ni,MR,,
1832389,Yongjŏn-ni,,L,LCTY,34.56667,126.91667,Ryūden-ri,other_variant,,
1832389,Yongjŏn-ni,,L,LCTY,34.56667,126.91667,Yongjŏn,MR,,
1832389,Yongjŏn-ni,,L,LCTY,34.56667,126.91667,Yongjŏnilgu,MR,,
1832390,Eiden-ri,Yŏngjŏl-li / 영전리,L,LCTY,34.335,126.58667,Sujŏn-ni,MR,,
1832390,Eiden-ri,Yŏngjŏl-li / 영전리,L,LCTY,34.335,126.58667,Yŏngjŏn-ni,MR,,
1832391,Pongo-dong,,P,PPL,37.51083,129.12333,Ryūsei-ri,other_variant,,
1832391,Pongo-dong,,P,PPL,37.51083,129.12333,Yongjŏng,MR,,
1832391,Pongo-dong,,P,PPL,37.51083,129.12333,Yongjŏng-ni,MR,,
1832392,Yongjŏng-ni,,P,PPL,36.84389,127.52611,Yongjŏng-ri,MR,,
1832396,Yongjŏng-ni,,L,LCTY,35.02096,128.47687,Ryūtei-ri,other_variant,,
1832398,Yonghwa-ri,용화리,P,PPL,34.47889,126.69833,Ryūka-ri,other_variant,,
1832398,Yonghwa-ri,용화리,P,PPL,34.47889,126.69833,Yonghwa,other_variant,,
1832398,Yonghwa-ri,용화리,P,PPL,34.47889,126.69833,Yongjŏng-ni,MR,,
1832399,Yongjŏng-ni,,P,PPL,35.04861,126.38972,Yongjŏng-gol,MR,,
1832400,Yeongjongdo,,T,ISLT,37.50054,126.5224,Eisō-tō,other_variant,,
1832400,Yeongjongdo,,T,ISLT,37.50054,126.5224,Yeiso To,other_variant,,
1832400,Yeongjongdo,,T,ISLT,37.50054,126.5224,Yonchon Island,other_variant,,
1832400,Yeongjongdo,,T,ISLT,37.50054,126.5224,Yongjong Island,other_variant,Y,
1832400,Yeongjongdo,,T,ISLT,37.50054,126.5224,Yŏngjong-do,MR,,
1832401,Yongjŏng,,P,PPL,35.18333,127.36667,Orŭng-ni,MR,,
1832402,Yongjeong,용정,P,PPL,34.92581,126.78871,Yongjŏng,MR,,
1832403,Yongjŏng-ni,Yongjŏng-ni / 용정리,L,LCTY,34.57083,126.575,Ryūsei-ri,other_variant,,
1832403,Yongjŏng-ni,Yongjŏng-ni / 용정리,L,LCTY,34.57083,126.575,Yongjŏng,MR,,
1832404,Yongjŏng,Yongjŏng / 용정,P,PPL,34.4775,126.69833,Yongjŏng-ni,MR,,
1832405,Taeyongjŏn,Taeyongjŏn / 대용전,P,PPL,37.3343,128.4656,Ryūden-dō,other_variant,,
1832405,Taeyongjŏn,Taeyongjŏn / 대용전,P,PPL,37.3343,128.4656,Yongjŏn-dong,MR,,
1832406,Yeongjeondong,영전동,P,PPL,37.25607,126.6077,Yŏngjŏn-dong,MR,,
1832407,Yeongjeon,영전,P,PPL,36.25673,126.54889,Yŏngjŏn,MR,,
1832408,Yongjeon,용전,P,PPL,35.55533,126.98753,Chisam-dong,other_variant,,
1832408,Yongjeon,용전,P,PPL,35.55533,126.98753,Yongjŏn,MR,,
1832409,Yongjŏn,,P,PPL,35.31667,128.93333,Yongjŏn-ni,MR,,
1832410,Yongjeon,용전,P,PPL,35.24,126.89781,Yongjŏn,MR,,
1832410,Yongjeon,용전,P,PPL,35.24,126.89781,Yongjŏn-ni,MR,,
1832411,Yongjeon,용전,P,PPL,34.89396,127.54185,Yongjŏn,MR,,
1832411,Yongjeon,용전,P,PPL,34.89396,127.54185,Yongjŏn-ni,MR,,
1832412,Yeongjeon,Yŏngjŏn / 영전,P,PPL,34.6675,126.87833,Eiden-ri,other_variant,,
1832412,Yeongjeon,Yŏngjŏn / 영전,P,PPL,34.6675,126.87833,Yŏngjŏn-ni,MR,,
